Month,Year,path_001,path_002,path_003,path_004,path_005,path_006,path_007,path_008,path_009,path_010,path_011,path_012,path_013,path_014,path_015,path_016,path_017,path_018,path_019,path_020,path_021,path_022,path_023,path_024,path_025,path_026,path_027,path_028,path_029,path_030,path_031,path_032,path_033,path_034,path_035,path_036,path_037,path_038,path_039,path_040,path_041,path_042,path_043,path_044,path_045,path_046,path_047,path_048,path_049,path_050,path_051,path_052,path_053,path_054,path_055,path_056,path_057,path_058,path_059,path_060,path_061,path_062,path_063,path_064,path_065,path_066,path_067,path_068,path_069,path_070,path_071,path_072,path_073,path_074,path_075,path_076,path_077,path_078,path_079,path_080,path_081,path_082,path_083,path_084,path_085,path_086,path_087,path_088,path_089,path_090,path_091,path_092,path_093,path_094,path_095,path_096,path_097,path_098,path_099,path_100
1,0.0833,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723,0.037723
2,0.1667,0.042715,0.041207,0.032868,0.040599,0.033515,0.040543,0.032067,0.040967,0.037776,0.035560,0.042129,0.037824,0.041204,0.039733,0.041969,0.036482,0.035026,0.042455,0.038756,0.033752,0.035130,0.045768,0.039149,0.036049,0.034540,0.036667,0.038495,0.033045,0.039360,0.033099,0.039833,0.038067,0.039504,0.032129,0.039494,0.036802,0.033084,0.038136,0.034325,0.032595,0.034209,0.040378,0.040201,0.037816,0.034170,0.035314,0.042174,0.040671,0.036427,0.041178,0.033110,0.034312,0.043033,0.034823,0.042195,0.034871,0.044119,0.034512,0.037418,0.039754,0.033567,0.037370,0.034315,0.035578,0.033694,0.038747,0.040362,0.033311,0.036473,0.041896,0.040242,0.030926,0.036108,0.039213,0.040934,0.038551,0.036719,0.042800,0.035915,0.042730,0.035489,0.037132,0.035784,0.044033,0.035793,0.038409,0.042749,0.037065,0.041191,0.043397,0.041332,0.035013,0.035166,0.037378,0.041380,0.040032,0.033531,0.034762,0.038805,0.034336
3,0.2500,0.042316,0.039868,0.032850,0.038147,0.027406,0.042086,0.036911,0.046866,0.037679,0.034449,0.039697,0.042039,0.044652,0.039483,0.038173,0.031537,0.036720,0.037781,0.037974,0.031756,0.033008,0.043348,0.042886,0.034041,0.032378,0.035423,0.038480,0.037425,0.041157,0.037271,0.042884,0.040940,0.043442,0.033528,0.035173,0.037485,0.039047,0.041007,0.031490,0.033384,0.038721,0.042372,0.042197,0.040577,0.035590,0.038617,0.043082,0.043535,0.032241,0.045191,0.033199,0.035224,0.042769,0.036808,0.051413,0.033379,0.038041,0.030013,0.037265,0.040769,0.035375,0.033416,0.031479,0.035566,0.036784,0.044570,0.038239,0.037164,0.036976,0.044259,0.042563,0.032416,0.032761,0.041261,0.043399,0.039642,0.036490,0.037518,0.034126,0.037673,0.032763,0.034306,0.032346,0.041897,0.039925,0.037458,0.035961,0.034251,0.044637,0.042080,0.036264,0.033156,0.033291,0.034611,0.039457,0.036361,0.032613,0.032278,0.043585,0.031109
4,0.3333,0.042685,0.042777,0.038996,0.037681,0.031789,0.040305,0.030563,0.040446,0.039842,0.033031,0.044253,0.044002,0.040503,0.039550,0.036288,0.032011,0.036237,0.034859,0.029069,0.031723,0.032224,0.039450,0.038968,0.031669,0.031135,0.034728,0.034193,0.037328,0.036892,0.038318,0.048522,0.041377,0.047389,0.034224,0.036922,0.031019,0.035240,0.051107,0.032140,0.034872,0.043912,0.037771,0.050692,0.046240,0.034922,0.045017,0.038095,0.048065,0.035431,0.046631,0.032699,0.032629,0.035772,0.037018,0.043921,0.034615,0.045705,0.034496,0.035016,0.042252,0.031552,0.031730,0.034447,0.035273,0.038440,0.043612,0.038494,0.040022,0.048091,0.044012,0.043320,0.035362,0.035798,0.044088,0.044854,0.040173,0.040805,0.037368,0.037810,0.036403,0.028816,0.033724,0.029493,0.040769,0.037779,0.045023,0.039587,0.027387,0.043434,0.040007,0.031794,0.036930,0.027606,0.030214,0.039949,0.031023,0.036616,0.029085,0.039373,0.029965
5,0.4167,0.038110,0.043551,0.035958,0.037330,0.025360,0.041776,0.035237,0.040397,0.037621,0.034968,0.048029,0.042671,0.041305,0.034263,0.035695,0.033070,0.039791,0.034863,0.029966,0.034258,0.033283,0.043755,0.034989,0.031375,0.034464,0.039543,0.029550,0.039924,0.035404,0.038089,0.042638,0.035520,0.047736,0.038053,0.032550,0.032298,0.036554,0.050608,0.030285,0.031301,0.047650,0.036144,0.059452,0.043788,0.033815,0.042593,0.037530,0.048380,0.037921,0.043890,0.036384,0.031865,0.038562,0.037143,0.054966,0.033206,0.039354,0.034331,0.036856,0.039657,0.028934,0.032515,0.033581,0.040478,0.038847,0.041949,0.034851,0.039778,0.046348,0.040485,0.041678,0.031718,0.039634,0.044240,0.040241,0.035069,0.047012,0.034736,0.039167,0.036404,0.032541,0.039039,0.029110,0.036438,0.042625,0.042961,0.037933,0.027489,0.045854,0.044345,0.029160,0.038363,0.023502,0.031695,0.041018,0.032574,0.036945,0.028729,0.036565,0.031622
6,0.5000,0.039024,0.041070,0.040947,0.032952,0.028568,0.045601,0.031719,0.042478,0.036535,0.033995,0.051618,0.042085,0.038650,0.032902,0.035447,0.028895,0.046142,0.034282,0.031703,0.031318,0.029160,0.052818,0.041249,0.034125,0.034935,0.034138,0.032653,0.043600,0.036243,0.044579,0.043779,0.043549,0.048942,0.042094,0.032126,0.032296,0.034255,0.051110,0.034868,0.030171,0.046548,0.036411,0.063236,0.040635,0.035904,0.044342,0.037425,0.048813,0.033396,0.038579,0.035334,0.033583,0.033683,0.041861,0.048383,0.030280,0.043506,0.032479,0.037738,0.040569,0.026812,0.032780,0.035675,0.041926,0.038899,0.047822,0.029930,0.040227,0.043529,0.044070,0.047380,0.026217,0.033438,0.040413,0.039472,0.040398,0.042249,0.031651,0.038043,0.030964,0.031524,0.031688,0.028247,0.032772,0.042949,0.042721,0.040259,0.027073,0.039548,0.045768,0.029673,0.037867,0.022022,0.033940,0.038403,0.031128,0.036840,0.028320,0.041301,0.035741
7,0.5833,0.037511,0.040099,0.045525,0.037271,0.027790,0.044795,0.028546,0.041679,0.034748,0.036167,0.053543,0.052066,0.039571,0.033718,0.034181,0.028173,0.046750,0.035623,0.031857,0.033191,0.030722,0.044788,0.039360,0.033596,0.034707,0.036970,0.033374,0.043624,0.040691,0.040606,0.043882,0.037692,0.046346,0.038447,0.033268,0.033089,0.032794,0.058418,0.033274,0.030208,0.051261,0.033098,0.065737,0.047225,0.028614,0.052246,0.033632,0.043616,0.034083,0.032877,0.036562,0.034209,0.030170,0.036797,0.049500,0.030655,0.048160,0.032922,0.039473,0.037921,0.025737,0.026447,0.034664,0.040687,0.040132,0.048811,0.029391,0.038501,0.043086,0.041339,0.044696,0.030661,0.034849,0.040836,0.039522,0.037096,0.041109,0.031467,0.033715,0.033785,0.031286,0.036386,0.029645,0.035673,0.041241,0.041466,0.041842,0.023649,0.041234,0.045467,0.026853,0.041454,0.021107,0.029101,0.048042,0.026358,0.040792,0.031475,0.040248,0.041737
8,0.6667,0.035015,0.042684,0.054596,0.039687,0.027521,0.050133,0.028844,0.045101,0.033836,0.037617,0.050870,0.043006,0.032582,0.032116,0.032730,0.025147,0.042632,0.035908,0.028887,0.034657,0.027894,0.039381,0.038721,0.036361,0.032048,0.043532,0.038885,0.044814,0.044993,0.039514,0.037874,0.037613,0.051502,0.039742,0.034883,0.031546,0.037044,0.056043,0.035895,0.031467,0.043127,0.035750,0.066852,0.046664,0.029336,0.053827,0.036114,0.045745,0.032625,0.028322,0.039014,0.032024,0.025151,0.034423,0.049792,0.027335,0.047460,0.030328,0.040379,0.036312,0.026949,0.031788,0.041947,0.042561,0.041754,0.054608,0.032064,0.038041,0.047389,0.039420,0.049108,0.034692,0.035279,0.037567,0.042653,0.031407,0.035131,0.030520,0.030399,0.034574,0.036068,0.036316,0.026625,0.034377,0.039163,0.043339,0.036873,0.024524,0.038055,0.043449,0.031701,0.038209,0.020690,0.029328,0.046650,0.025502,0.037823,0.029909,0.041891,0.048351
9,0.7500,0.030042,0.042558,0.049117,0.035854,0.030680,0.046045,0.030426,0.054718,0.039393,0.037578,0.044437,0.043498,0.030638,0.031745,0.035507,0.024091,0.038279,0.040786,0.031508,0.033605,0.027804,0.035145,0.033519,0.036288,0.038098,0.046706,0.039078,0.045842,0.040432,0.039633,0.039101,0.035524,0.056236,0.038196,0.032138,0.031162,0.038601,0.049406,0.035338,0.034462,0.045100,0.043946,0.064522,0.051933,0.029738,0.054913,0.033935,0.043555,0.030955,0.033158,0.045379,0.032009,0.027795,0.037968,0.044430,0.029615,0.044802,0.025012,0.034560,0.036225,0.030674,0.031326,0.044484,0.042915,0.038340,0.056879,0.035564,0.033387,0.043245,0.040522,0.049101,0.038738,0.040625,0.037514,0.035733,0.029201,0.034839,0.029744,0.033678,0.034353,0.034819,0.038321,0.024358,0.035641,0.042385,0.043729,0.035268,0.027639,0.038525,0.039509,0.030227,0.031008,0.021336,0.026319,0.045851,0.024928,0.040124,0.031286,0.044023,0.041072
10,0.8333,0.029867,0.044407,0.050123,0.030890,0.033751,0.040091,0.031167,0.057812,0.041423,0.036436,0.046321,0.048581,0.028813,0.030328,0.033798,0.024672,0.038053,0.043151,0.030228,0.037287,0.028200,0.033622,0.034364,0.034039,0.039203,0.046218,0.039597,0.049035,0.037201,0.046099,0.043772,0.036405,0.055108,0.037517,0.028147,0.031425,0.038670,0.043916,0.037405,0.032011,0.043635,0.039174,0.063419,0.062170,0.033422,0.061460,0.033199,0.042461,0.028913,0.033787,0.045519,0.030605,0.027173,0.043991,0.040236,0.033869,0.043599,0.023647,0.032784,0.037255,0.029362,0.028017,0.047212,0.044818,0.040173,0.055342,0.035674,0.031484,0.044971,0.036406,0.048261,0.040387,0.039508,0.039887,0.034630,0.029422,0.034287,0.027762,0.036489,0.029497,0.031044,0.037286,0.024774,0.036182,0.048349,0.043234,0.035106,0.030949,0.036291,0.042436,0.031142,0.034656,0.021635,0.022044,0.040630,0.022291,0.040902,0.031994,0.047045,0.040188
