Month,Year,path_001,path_002,path_003,path_004,path_005,path_006,path_007,path_008,path_009,path_010,path_011,path_012,path_013,path_014,path_015,path_016,path_017,path_018,path_019,path_020,path_021,path_022,path_023,path_024,path_025,path_026,path_027,path_028,path_029,path_030,path_031,path_032,path_033,path_034,path_035,path_036,path_037,path_038,path_039,path_040,path_041,path_042,path_043,path_044,path_045,path_046,path_047,path_048,path_049,path_050,path_051,path_052,path_053,path_054,path_055,path_056,path_057,path_058,path_059,path_060,path_061,path_062,path_063,path_064,path_065,path_066,path_067,path_068,path_069,path_070,path_071,path_072,path_073,path_074,path_075,path_076,path_077,path_078,path_079,path_080,path_081,path_082,path_083,path_084,path_085,path_086,path_087,path_088,path_089,path_090,path_091,path_092,path_093,path_094,path_095,path_096,path_097,path_098,path_099,path_100
1,0.0833,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775,0.036775
2,0.1667,0.041616,0.040110,0.031780,0.039503,0.032426,0.039448,0.030981,0.039871,0.036682,0.034469,0.041031,0.036731,0.040107,0.038638,0.040871,0.035390,0.033936,0.041357,0.037662,0.032664,0.034040,0.044665,0.038054,0.034958,0.033450,0.035575,0.037401,0.031957,0.038265,0.032011,0.038738,0.036974,0.038409,0.031043,0.038399,0.035710,0.031997,0.037042,0.033236,0.031508,0.033120,0.039282,0.039106,0.036723,0.033081,0.034223,0.041076,0.039575,0.035335,0.040082,0.032023,0.033223,0.041934,0.033733,0.041097,0.033780,0.043019,0.033422,0.036325,0.038658,0.032478,0.036277,0.033226,0.034487,0.032605,0.037652,0.039266,0.032223,0.035381,0.040798,0.039147,0.029842,0.035016,0.038118,0.039837,0.037457,0.035627,0.041702,0.034823,0.041632,0.034398,0.036039,0.034693,0.042933,0.034702,0.037315,0.041650,0.035972,0.040095,0.042298,0.040235,0.033922,0.034075,0.036285,0.040283,0.038937,0.032443,0.033672,0.037711,0.033247
3,0.2500,0.041020,0.038584,0.031598,0.036872,0.026197,0.040788,0.035631,0.045538,0.036403,0.033190,0.038415,0.040737,0.043340,0.038199,0.036900,0.030298,0.035446,0.036511,0.036698,0.030512,0.031757,0.042050,0.041581,0.032785,0.031131,0.034160,0.037200,0.036144,0.039863,0.035991,0.041580,0.039645,0.042135,0.032270,0.033915,0.036209,0.037756,0.039712,0.030249,0.032127,0.037433,0.041072,0.040898,0.039284,0.034321,0.037332,0.041781,0.042229,0.030998,0.043874,0.031944,0.033958,0.041470,0.035533,0.050053,0.032126,0.036771,0.028783,0.035991,0.039478,0.034107,0.032166,0.030238,0.034300,0.035507,0.043254,0.036963,0.035885,0.035702,0.042950,0.041262,0.031164,0.031514,0.039966,0.042094,0.038356,0.035220,0.036250,0.032870,0.036404,0.031514,0.033050,0.031101,0.040605,0.038633,0.036185,0.034702,0.032995,0.043324,0.040786,0.035001,0.031904,0.032039,0.033353,0.038175,0.035096,0.031364,0.031032,0.042275,0.029871
4,0.3333,0.041142,0.041228,0.037470,0.036189,0.030346,0.038787,0.029148,0.038932,0.038319,0.031584,0.042687,0.042436,0.038987,0.038036,0.034814,0.030575,0.034753,0.033402,0.027683,0.030288,0.030786,0.037949,0.037465,0.030240,0.029709,0.033263,0.032741,0.035829,0.035412,0.036807,0.046903,0.039841,0.045785,0.032757,0.035433,0.029604,0.033769,0.049447,0.030700,0.033397,0.042336,0.036283,0.049044,0.044644,0.033452,0.043430,0.036606,0.046454,0.033952,0.045041,0.031252,0.031187,0.034311,0.035524,0.042374,0.033147,0.044120,0.033023,0.033550,0.040708,0.030124,0.030301,0.032977,0.033800,0.036928,0.042056,0.036992,0.038490,0.046462,0.042455,0.041767,0.033877,0.034315,0.042522,0.043284,0.038651,0.039268,0.035881,0.036304,0.034928,0.027424,0.032271,0.028092,0.039249,0.036282,0.043438,0.038072,0.026019,0.041884,0.038496,0.030372,0.035432,0.026232,0.028807,0.038433,0.029610,0.035119,0.027688,0.037866,0.028554
5,0.4167,0.036394,0.041733,0.034254,0.035614,0.023857,0.039988,0.033539,0.038640,0.035899,0.033280,0.046130,0.040869,0.039530,0.032607,0.034009,0.031414,0.038020,0.033190,0.028376,0.032575,0.031623,0.041937,0.033321,0.029753,0.032778,0.037774,0.027975,0.038151,0.033724,0.036351,0.040845,0.033842,0.045848,0.036303,0.030917,0.030662,0.034841,0.048665,0.028681,0.029681,0.045745,0.034454,0.057325,0.041967,0.032151,0.040786,0.035818,0.046483,0.036179,0.042076,0.034663,0.030235,0.036829,0.035422,0.052943,0.031551,0.037615,0.032650,0.035141,0.037908,0.027361,0.030872,0.031916,0.038691,0.037095,0.040163,0.033182,0.038011,0.044475,0.038729,0.039897,0.030088,0.037861,0.042410,0.038489,0.033398,0.045115,0.033068,0.037408,0.034704,0.030890,0.037277,0.027529,0.034750,0.040810,0.041150,0.036208,0.025942,0.044000,0.042513,0.027590,0.036615,0.022045,0.030067,0.039241,0.030935,0.035220,0.027154,0.034870,0.029988
6,0.5000,0.037028,0.039027,0.038874,0.031097,0.026791,0.043440,0.029877,0.040400,0.034589,0.032096,0.049314,0.040016,0.036666,0.031046,0.033525,0.027127,0.043945,0.032387,0.029858,0.029483,0.027386,0.050476,0.039185,0.032216,0.033005,0.032245,0.030789,0.041469,0.034302,0.042421,0.041676,0.041428,0.046713,0.039989,0.030281,0.030439,0.032357,0.048829,0.032934,0.028367,0.044364,0.034470,0.060622,0.038604,0.033957,0.042210,0.035463,0.046591,0.031518,0.036607,0.033398,0.031690,0.031814,0.039772,0.046185,0.028477,0.041400,0.030615,0.035753,0.038532,0.025098,0.030908,0.033728,0.039837,0.036888,0.045610,0.028151,0.038186,0.041426,0.041955,0.045177,0.024524,0.031562,0.038388,0.037470,0.038354,0.040170,0.029827,0.036052,0.029159,0.029680,0.029856,0.026489,0.030929,0.040845,0.040633,0.038221,0.025347,0.037551,0.043609,0.027886,0.035876,0.020445,0.032036,0.036419,0.029305,0.034871,0.026558,0.039239,0.033783
7,0.5833,0.035278,0.037789,0.043006,0.035027,0.025829,0.042335,0.026579,0.039319,0.032592,0.033945,0.050808,0.049358,0.037273,0.031590,0.032040,0.026213,0.044207,0.033430,0.029772,0.031059,0.028674,0.042343,0.037060,0.031455,0.032530,0.034731,0.031244,0.041182,0.038337,0.038263,0.041459,0.035450,0.043854,0.036162,0.031146,0.030966,0.030692,0.055517,0.031140,0.028178,0.048587,0.030998,0.062590,0.044682,0.026653,0.049530,0.031519,0.041215,0.031935,0.030804,0.034327,0.032048,0.028168,0.034573,0.046917,0.028613,0.045587,0.030803,0.037157,0.035675,0.023860,0.024557,0.032491,0.038338,0.037798,0.046225,0.027405,0.036225,0.040683,0.038994,0.042245,0.028608,0.032678,0.038502,0.037229,0.034867,0.038763,0.029412,0.031590,0.031652,0.029216,0.034160,0.027625,0.033488,0.038885,0.039111,0.039460,0.021848,0.038892,0.042991,0.024944,0.039070,0.019398,0.027115,0.045459,0.024472,0.038424,0.029389,0.037923,0.039317
8,0.6667,0.032928,0.040371,0.051878,0.037438,0.025616,0.047595,0.026913,0.042717,0.031771,0.035418,0.048339,0.040698,0.030574,0.030098,0.030696,0.023340,0.040317,0.033771,0.026957,0.032538,0.025994,0.037188,0.036516,0.034193,0.030021,0.041157,0.036640,0.042424,0.042586,0.037285,0.035719,0.035443,0.048942,0.037492,0.032768,0.029533,0.034865,0.053356,0.033738,0.029447,0.040819,0.033624,0.063817,0.044238,0.027396,0.051175,0.033982,0.043364,0.030585,0.026448,0.036772,0.029997,0.023367,0.032342,0.047302,0.025458,0.045011,0.028354,0.038112,0.034185,0.025069,0.029756,0.039608,0.040235,0.039449,0.051937,0.030037,0.035853,0.044938,0.037213,0.046609,0.032560,0.033158,0.035411,0.040338,0.029424,0.033046,0.028548,0.028440,0.032475,0.033898,0.034162,0.024761,0.032296,0.036951,0.041006,0.034728,0.022724,0.035889,0.041127,0.029669,0.036010,0.019027,0.027382,0.044214,0.023686,0.035631,0.027932,0.039593,0.045807
9,0.7500,0.028195,0.040378,0.046749,0.033833,0.028750,0.043786,0.028524,0.052192,0.037265,0.035495,0.042245,0.041306,0.028774,0.029827,0.033483,0.022384,0.036215,0.038616,0.029575,0.031620,0.025982,0.033180,0.031574,0.034231,0.035985,0.044379,0.036947,0.043564,0.038296,0.037518,0.037020,0.033522,0.053698,0.036110,0.030205,0.029249,0.036488,0.047094,0.033305,0.032442,0.042868,0.041690,0.061791,0.049501,0.027865,0.052407,0.031968,0.041373,0.029057,0.031213,0.043074,0.030072,0.025986,0.035884,0.042242,0.027738,0.042576,0.023290,0.032580,0.034204,0.028748,0.029399,0.042205,0.040710,0.036259,0.054318,0.033525,0.031442,0.041059,0.038399,0.046758,0.036592,0.038454,0.035467,0.033738,0.027368,0.032860,0.027879,0.031704,0.032361,0.032796,0.036217,0.022641,0.033622,0.040200,0.041518,0.033274,0.025799,0.036454,0.037425,0.028331,0.029128,0.019699,0.024549,0.043586,0.023195,0.037980,0.029351,0.041792,0.038901
10,0.8333,0.028134,0.042356,0.047942,0.029133,0.031861,0.038160,0.029364,0.055442,0.039407,0.034533,0.044264,0.046444,0.027108,0.028568,0.031957,0.023034,0.036145,0.041092,0.028452,0.035343,0.026471,0.031825,0.032526,0.032186,0.037221,0.044104,0.037615,0.046871,0.035306,0.043989,0.041735,0.034520,0.052844,0.035602,0.026443,0.029626,0.036713,0.041933,0.035463,0.030193,0.041622,0.037219,0.061001,0.059681,0.031566,0.059011,0.031381,0.040480,0.027187,0.031952,0.043406,0.028830,0.025483,0.041914,0.038321,0.031993,0.041584,0.022054,0.030981,0.035351,0.027593,0.026301,0.045056,0.042745,0.038202,0.053070,0.033775,0.029714,0.042920,0.034541,0.046145,0.038363,0.037534,0.037931,0.032800,0.027690,0.032456,0.026062,0.034577,0.027763,0.029258,0.035364,0.023132,0.034290,0.046193,0.041215,0.033252,0.029122,0.034424,0.040439,0.029338,0.032800,0.020063,0.020499,0.038678,0.020730,0.038904,0.030164,0.044924,0.038209
