Month,Year,path_001,path_002,path_003,path_004,path_005,path_006,path_007,path_008,path_009,path_010,path_011,path_012,path_013,path_014,path_015,path_016,path_017,path_018,path_019,path_020,path_021,path_022,path_023,path_024,path_025,path_026,path_027,path_028,path_029,path_030,path_031,path_032,path_033,path_034,path_035,path_036,path_037,path_038,path_039,path_040,path_041,path_042,path_043,path_044,path_045,path_046,path_047,path_048,path_049,path_050,path_051,path_052,path_053,path_054,path_055,path_056,path_057,path_058,path_059,path_060,path_061,path_062,path_063,path_064,path_065,path_066,path_067,path_068,path_069,path_070,path_071,path_072,path_073,path_074,path_075,path_076,path_077,path_078,path_079,path_080,path_081,path_082,path_083,path_084,path_085,path_086,path_087,path_088,path_089,path_090,path_091,path_092,path_093,path_094,path_095,path_096,path_097,path_098,path_099,path_100
1,0.0833,0.040136,0.039131,0.032778,0.038715,0.033328,0.038677,0.032082,0.038968,0.036694,0.034996,0.039750,0.036730,0.039129,0.038111,0.039643,0.035715,0.034570,0.039966,0.037413,0.033527,0.034653,0.042063,0.037696,0.035380,0.034177,0.035857,0.037224,0.032929,0.037846,0.032975,0.038182,0.036910,0.037949,0.032136,0.037942,0.035961,0.032963,0.036961,0.034001,0.032543,0.033906,0.038562,0.038439,0.036724,0.033873,0.034800,0.039780,0.038764,0.035673,0.039111,0.032985,0.033990,0.040343,0.034406,0.039794,0.034445,0.041039,0.034154,0.036427,0.038126,0.033371,0.036391,0.033993,0.035010,0.033478,0.037406,0.038551,0.033156,0.035708,0.039595,0.038468,0.031059,0.035425,0.037742,0.038945,0.037264,0.035898,0.040192,0.035275,0.040146,0.034940,0.036211,0.035173,0.040985,0.035179,0.037160,0.040158,0.036161,0.039120,0.040578,0.039216,0.034559,0.034682,0.036397,0.039248,0.038321,0.033341,0.034357,0.037449,0.034010
2,0.1667,0.038277,0.037184,0.032774,0.039447,0.036111,0.037373,0.033405,0.040246,0.039956,0.034222,0.037770,0.038231,0.042656,0.036921,0.035662,0.036297,0.031775,0.038657,0.039664,0.032407,0.033719,0.042562,0.037086,0.030953,0.032730,0.033427,0.039838,0.036686,0.035191,0.033090,0.034270,0.038057,0.033465,0.030027,0.038068,0.037813,0.033196,0.036998,0.036098,0.030245,0.034435,0.040339,0.038983,0.037012,0.033526,0.034449,0.039466,0.036061,0.036398,0.043393,0.034900,0.035993,0.040403,0.033730,0.037066,0.035804,0.039772,0.032932,0.033221,0.038955,0.035407,0.034946,0.030521,0.036256,0.037515,0.036881,0.041403,0.034520,0.033513,0.040771,0.039458,0.030615,0.036092,0.042225,0.040448,0.039750,0.033339,0.036492,0.037987,0.040087,0.038907,0.035120,0.039713,0.043150,0.035110,0.035365,0.039981,0.036179,0.037079,0.042933,0.038742,0.032838,0.034194,0.036165,0.039651,0.038728,0.033711,0.037116,0.036780,0.029784
3,0.2500,0.037983,0.036221,0.032682,0.037661,0.030349,0.038377,0.037286,0.043962,0.039831,0.033266,0.036072,0.041138,0.044864,0.036700,0.032972,0.032134,0.033037,0.035357,0.039043,0.030614,0.031898,0.041026,0.039591,0.029279,0.030839,0.032399,0.039777,0.040113,0.036396,0.036356,0.036291,0.040045,0.036079,0.031149,0.034768,0.038271,0.037780,0.038981,0.033597,0.030841,0.037847,0.041646,0.040297,0.038935,0.034602,0.036897,0.040028,0.037924,0.032901,0.045953,0.034900,0.036662,0.040201,0.035222,0.042534,0.034506,0.035597,0.028921,0.033052,0.039617,0.036811,0.031745,0.028019,0.036183,0.039911,0.040749,0.039846,0.037526,0.033839,0.042269,0.040985,0.031857,0.033292,0.043604,0.042044,0.040483,0.033106,0.032770,0.036487,0.036527,0.036591,0.032838,0.036804,0.041734,0.038115,0.034611,0.035102,0.033902,0.039286,0.042042,0.035036,0.031237,0.032586,0.033948,0.038281,0.035986,0.032855,0.034959,0.039982,0.026930
4,0.3333,0.040431,0.037679,0.032697,0.038391,0.025788,0.041364,0.037778,0.044886,0.039651,0.035534,0.036279,0.042959,0.049131,0.034285,0.035140,0.030336,0.036132,0.039194,0.039637,0.028494,0.031830,0.040916,0.038847,0.028556,0.030946,0.034005,0.039954,0.044504,0.032678,0.036952,0.033222,0.036648,0.033248,0.033738,0.039338,0.041990,0.034909,0.035703,0.032126,0.031905,0.038598,0.043448,0.043047,0.034120,0.035253,0.036004,0.040277,0.037612,0.030763,0.044016,0.032277,0.035029,0.040011,0.034316,0.046920,0.031343,0.034930,0.027822,0.033057,0.037174,0.036429,0.029749,0.023577,0.038423,0.037568,0.042372,0.036576,0.033513,0.033071,0.044214,0.040878,0.031792,0.033861,0.044152,0.041762,0.038702,0.032754,0.028204,0.040029,0.035756,0.039486,0.036060,0.039460,0.038970,0.033369,0.030718,0.037799,0.037005,0.040582,0.040803,0.034110,0.029259,0.029661,0.038588,0.037455,0.036704,0.032431,0.035096,0.041945,0.028692
5,0.4167,0.040700,0.039666,0.037502,0.038055,0.029935,0.040180,0.032461,0.040815,0.041222,0.034339,0.039333,0.044259,0.046440,0.034347,0.033726,0.030732,0.035761,0.036938,0.032111,0.028441,0.031135,0.038310,0.036193,0.026506,0.029820,0.033442,0.036643,0.044436,0.029632,0.037734,0.036693,0.036965,0.035702,0.034302,0.040697,0.036662,0.032038,0.041859,0.032678,0.033117,0.042128,0.040255,0.048182,0.037787,0.034716,0.040304,0.036861,0.040401,0.033400,0.044928,0.031833,0.032867,0.035031,0.034478,0.042598,0.032353,0.040072,0.031718,0.031310,0.038193,0.033200,0.028274,0.026093,0.038186,0.038806,0.041801,0.036772,0.035594,0.040422,0.044092,0.041398,0.034223,0.036339,0.046027,0.042712,0.039090,0.035889,0.028097,0.042901,0.034799,0.035840,0.035568,0.036831,0.038231,0.031835,0.035871,0.040494,0.030674,0.039855,0.039415,0.030404,0.032278,0.024351,0.034745,0.037817,0.032229,0.035671,0.032131,0.039133,0.027605
6,0.5000,0.038547,0.041250,0.037504,0.041284,0.027036,0.040882,0.030663,0.042037,0.041202,0.034419,0.041305,0.043394,0.049089,0.038074,0.030680,0.031276,0.034586,0.037701,0.029498,0.030004,0.029388,0.035570,0.039064,0.027897,0.027602,0.031746,0.038408,0.048380,0.024027,0.038753,0.037995,0.033360,0.035041,0.033752,0.036066,0.037024,0.030208,0.043214,0.032154,0.030201,0.042783,0.039312,0.046879,0.034888,0.034179,0.037569,0.035220,0.038855,0.034552,0.044959,0.033122,0.030419,0.034166,0.030385,0.044633,0.030788,0.041006,0.029632,0.030467,0.037251,0.030364,0.028276,0.022581,0.033595,0.040989,0.040394,0.037084,0.033968,0.042171,0.041665,0.042281,0.036099,0.032605,0.043773,0.044068,0.039924,0.033261,0.023290,0.047643,0.032916,0.033674,0.038310,0.036628,0.037917,0.035603,0.034645,0.041461,0.028456,0.039516,0.041468,0.028886,0.032357,0.024791,0.036781,0.037490,0.034100,0.036450,0.032814,0.037118,0.026710
7,0.5833,0.035278,0.041657,0.035115,0.040905,0.020490,0.041781,0.034524,0.041901,0.039487,0.035886,0.043498,0.042447,0.049535,0.033935,0.030095,0.032049,0.037089,0.037575,0.030197,0.032025,0.030157,0.038361,0.035929,0.027487,0.030317,0.035263,0.034155,0.050147,0.022750,0.038471,0.034319,0.028977,0.035168,0.036601,0.032397,0.038015,0.031110,0.042878,0.030329,0.027024,0.044970,0.037960,0.051219,0.033288,0.033142,0.035938,0.034687,0.038963,0.036333,0.043191,0.035988,0.029609,0.036151,0.030361,0.050777,0.029485,0.036742,0.029365,0.031779,0.035380,0.027768,0.028819,0.021731,0.037331,0.041171,0.039217,0.034177,0.033691,0.041069,0.039241,0.041109,0.032905,0.035337,0.043779,0.040949,0.036003,0.037111,0.021119,0.048516,0.032795,0.036947,0.042289,0.036098,0.034665,0.038869,0.033251,0.040156,0.028388,0.040937,0.044242,0.026296,0.033306,0.020047,0.037978,0.038124,0.035328,0.036579,0.032303,0.034933,0.028075
8,0.6667,0.032803,0.041541,0.033182,0.040352,0.022295,0.040855,0.035949,0.043762,0.043297,0.035799,0.044346,0.041438,0.047240,0.031140,0.027834,0.035323,0.033714,0.034824,0.029158,0.028425,0.029127,0.039602,0.036163,0.023488,0.025825,0.035025,0.032185,0.049080,0.019823,0.036641,0.036835,0.024611,0.035479,0.034603,0.028742,0.034548,0.033410,0.043864,0.029378,0.026903,0.041651,0.038580,0.049604,0.029139,0.033329,0.040302,0.033195,0.039667,0.035810,0.043710,0.038060,0.029321,0.037680,0.030511,0.048568,0.030008,0.034914,0.027101,0.027566,0.035064,0.026517,0.029424,0.023623,0.039723,0.043029,0.035540,0.037149,0.036039,0.041705,0.042438,0.041735,0.031261,0.034700,0.047376,0.045038,0.035838,0.038678,0.021784,0.051040,0.034222,0.034028,0.046252,0.035384,0.036260,0.042121,0.036314,0.037453,0.026999,0.041484,0.043960,0.029212,0.032283,0.021259,0.041724,0.037534,0.030561,0.037668,0.031196,0.035053,0.027153
9,0.7500,0.033351,0.039807,0.036699,0.036719,0.025482,0.043200,0.032851,0.045060,0.042354,0.034870,0.046269,0.040953,0.045275,0.029861,0.027508,0.031365,0.037740,0.034217,0.030589,0.025756,0.025249,0.044743,0.040650,0.025705,0.026070,0.030782,0.034843,0.051433,0.020351,0.040925,0.037475,0.030194,0.036094,0.037311,0.028226,0.034399,0.031457,0.044069,0.033195,0.025711,0.040920,0.038660,0.051259,0.026956,0.034877,0.041327,0.032996,0.039838,0.032116,0.040009,0.037108,0.030653,0.033761,0.033740,0.044977,0.027260,0.037609,0.025400,0.028106,0.035589,0.024191,0.029506,0.025185,0.040598,0.042951,0.039094,0.032720,0.036242,0.039870,0.044704,0.045211,0.025717,0.029809,0.044755,0.044390,0.039678,0.035616,0.019028,0.050109,0.029535,0.032984,0.040266,0.034365,0.033149,0.042233,0.036061,0.039003,0.026390,0.037264,0.044749,0.029540,0.031799,0.019202,0.043504,0.035582,0.029133,0.037463,0.030621,0.038344,0.030451
10,0.8333,0.032023,0.041984,0.034232,0.034871,0.023837,0.044855,0.029928,0.042552,0.043145,0.033191,0.045590,0.037866,0.046778,0.032037,0.029466,0.035407,0.033484,0.033467,0.032827,0.021128,0.027783,0.042042,0.044658,0.025955,0.023720,0.030877,0.037258,0.051314,0.021594,0.041035,0.037344,0.027134,0.035475,0.037634,0.027073,0.038037,0.029419,0.040265,0.035738,0.025182,0.038708,0.038208,0.049625,0.021548,0.031369,0.044429,0.035381,0.042767,0.034431,0.041982,0.038033,0.028072,0.035824,0.035185,0.046220,0.025201,0.040128,0.027505,0.026912,0.036865,0.024467,0.032190,0.023278,0.038020,0.040590,0.034649,0.036572,0.036589,0.037229,0.048928,0.042273,0.028015,0.025398,0.044101,0.046336,0.039180,0.032798,0.018743,0.048463,0.029021,0.032712,0.042923,0.034582,0.032422,0.042983,0.032019,0.040637,0.029792,0.034318,0.044875,0.031348,0.031848,0.020432,0.048509,0.038688,0.025627,0.034675,0.027289,0.035625,0.028074
