Month,Year,path_001,path_002,path_003,path_004,path_005,path_006,path_007,path_008,path_009,path_010,path_011,path_012,path_013,path_014,path_015,path_016,path_017,path_018,path_019,path_020,path_021,path_022,path_023,path_024,path_025,path_026,path_027,path_028,path_029,path_030,path_031,path_032,path_033,path_034,path_035,path_036,path_037,path_038,path_039,path_040,path_041,path_042,path_043,path_044,path_045,path_046,path_047,path_048,path_049,path_050,path_051,path_052,path_053,path_054,path_055,path_056,path_057,path_058,path_059,path_060,path_061,path_062,path_063,path_064,path_065,path_066,path_067,path_068,path_069,path_070,path_071,path_072,path_073,path_074,path_075,path_076,path_077,path_078,path_079,path_080,path_081,path_082,path_083,path_084,path_085,path_086,path_087,path_088,path_089,path_090,path_091,path_092,path_093,path_094,path_095,path_096,path_097,path_098,path_099,path_100
1,0.0833,0.040300,0.039286,0.032876,0.038866,0.033430,0.038827,0.032175,0.039121,0.036826,0.035112,0.039911,0.036862,0.039283,0.038256,0.039803,0.035838,0.034683,0.040129,0.037552,0.033631,0.034767,0.042247,0.037837,0.035500,0.034286,0.035982,0.037360,0.033029,0.037989,0.033075,0.038327,0.037044,0.038092,0.032229,0.038085,0.036086,0.033063,0.037095,0.034109,0.032639,0.034013,0.038711,0.038587,0.036856,0.033980,0.034915,0.039941,0.038916,0.035795,0.039266,0.033085,0.034098,0.040510,0.034518,0.039955,0.034557,0.041213,0.034263,0.036556,0.038271,0.033474,0.036520,0.034101,0.035127,0.033582,0.037545,0.038700,0.033257,0.035831,0.039754,0.038616,0.031143,0.035546,0.037883,0.039098,0.037401,0.036022,0.040357,0.035394,0.040311,0.035056,0.036339,0.035291,0.041158,0.035297,0.037297,0.040323,0.036288,0.039275,0.040747,0.039371,0.034672,0.034796,0.036526,0.039404,0.038468,0.033444,0.034468,0.037587,0.034118
2,0.1667,0.038307,0.037204,0.032756,0.039489,0.036122,0.037395,0.033392,0.040295,0.040003,0.034217,0.037796,0.038261,0.042731,0.036939,0.035669,0.036309,0.031749,0.038692,0.039708,0.032386,0.033709,0.042635,0.037105,0.030921,0.032712,0.033415,0.039884,0.036702,0.035193,0.033075,0.034265,0.038086,0.033453,0.029988,0.038096,0.037839,0.033182,0.037017,0.036109,0.030207,0.034431,0.040390,0.039020,0.037031,0.033515,0.034446,0.039508,0.036071,0.036411,0.043476,0.034900,0.036003,0.040455,0.033720,0.037085,0.035812,0.039817,0.032915,0.033207,0.038992,0.035411,0.034947,0.030486,0.036268,0.037538,0.036898,0.041464,0.034517,0.033502,0.040826,0.039500,0.030581,0.036102,0.042295,0.040499,0.039795,0.033326,0.036506,0.038014,0.040135,0.038944,0.035122,0.039757,0.043230,0.035112,0.035369,0.040028,0.036190,0.037099,0.043010,0.038777,0.032821,0.034188,0.036176,0.039695,0.038763,0.033701,0.037136,0.036796,0.029743
3,0.2500,0.038033,0.036254,0.032686,0.037707,0.030335,0.038430,0.037329,0.044072,0.039899,0.033274,0.036104,0.041219,0.044985,0.036738,0.032978,0.032133,0.033043,0.035383,0.039103,0.030602,0.031895,0.041106,0.039656,0.029256,0.030828,0.032401,0.039844,0.040183,0.036431,0.036391,0.036326,0.040115,0.036111,0.031140,0.034789,0.038324,0.037828,0.039041,0.033608,0.030830,0.037895,0.041732,0.040369,0.038994,0.034622,0.036937,0.040097,0.037973,0.032906,0.046085,0.034922,0.036700,0.040272,0.035247,0.042629,0.034525,0.035625,0.028896,0.033058,0.039683,0.036850,0.031741,0.027987,0.036216,0.039979,0.040826,0.039914,0.037571,0.033853,0.042361,0.041064,0.031854,0.033301,0.043711,0.042134,0.040558,0.033113,0.032774,0.036523,0.036563,0.036629,0.032843,0.036843,0.041821,0.038166,0.034631,0.035126,0.033915,0.039348,0.042132,0.035059,0.031229,0.032589,0.033962,0.038333,0.036017,0.032860,0.034982,0.040051,0.026892
4,0.3333,0.040370,0.037592,0.032567,0.038311,0.025609,0.041314,0.037692,0.044872,0.039583,0.035428,0.036180,0.042925,0.049167,0.034168,0.035031,0.030188,0.036031,0.039122,0.039569,0.028333,0.031693,0.040860,0.038771,0.028395,0.030803,0.033886,0.039889,0.044487,0.032549,0.036859,0.033096,0.036552,0.033122,0.033616,0.039268,0.041946,0.034797,0.035598,0.031992,0.031769,0.038520,0.043419,0.043014,0.034002,0.035144,0.035902,0.040215,0.037525,0.030618,0.043993,0.032144,0.034919,0.039947,0.034200,0.046930,0.031203,0.034819,0.027656,0.032930,0.037082,0.036331,0.029597,0.023385,0.038343,0.037480,0.042332,0.036479,0.033390,0.032944,0.044193,0.040822,0.031655,0.033741,0.044131,0.041715,0.038625,0.032624,0.028040,0.039965,0.035652,0.039417,0.035959,0.039390,0.038896,0.033245,0.030572,0.037714,0.036912,0.040523,0.040747,0.033992,0.029104,0.029508,0.038510,0.037366,0.036608,0.032299,0.034986,0.041900,0.028532
5,0.4167,0.040470,0.039426,0.037242,0.037800,0.029613,0.039945,0.032158,0.040587,0.040998,0.034051,0.039090,0.044066,0.046272,0.034059,0.033433,0.030415,0.035485,0.036673,0.031805,0.028107,0.030821,0.038057,0.035921,0.026160,0.029497,0.033147,0.036375,0.044245,0.029307,0.037476,0.036425,0.036700,0.035426,0.034013,0.040468,0.036394,0.031731,0.041641,0.032376,0.032819,0.041913,0.040021,0.048034,0.037530,0.034431,0.040070,0.036595,0.040169,0.033104,0.044743,0.031525,0.032567,0.034749,0.034191,0.042387,0.032049,0.039836,0.031408,0.030998,0.037939,0.032902,0.027940,0.025744,0.037932,0.038558,0.041582,0.036505,0.035317,0.040189,0.043898,0.041176,0.033934,0.036069,0.045854,0.042503,0.038845,0.035614,0.027761,0.042694,0.034515,0.035565,0.035290,0.036564,0.037978,0.031527,0.035596,0.040263,0.030357,0.039617,0.039173,0.030085,0.031973,0.023992,0.034461,0.037560,0.031924,0.035395,0.031825,0.038888,0.027266
6,0.5000,0.038433,0.041163,0.037380,0.041197,0.026830,0.040791,0.030483,0.041958,0.041115,0.034268,0.041219,0.043329,0.049089,0.037956,0.030500,0.031100,0.034437,0.037580,0.029309,0.029819,0.029198,0.035430,0.038956,0.027696,0.027399,0.031573,0.038293,0.048371,0.023802,0.038642,0.037876,0.033200,0.034896,0.033596,0.035930,0.036896,0.030024,0.043147,0.031984,0.030017,0.042712,0.039206,0.046853,0.034741,0.034027,0.037446,0.035076,0.038744,0.034402,0.044912,0.032961,0.030237,0.034013,0.030203,0.044582,0.030608,0.040917,0.029444,0.030285,0.037125,0.030182,0.028078,0.022347,0.033438,0.040899,0.040298,0.036956,0.033814,0.042094,0.041582,0.042205,0.035963,0.032439,0.043712,0.044010,0.039823,0.033101,0.023061,0.047626,0.032753,0.033517,0.038194,0.036497,0.037797,0.035463,0.034497,0.041376,0.028259,0.039411,0.041383,0.028693,0.032190,0.024570,0.036652,0.037366,0.033947,0.036317,0.032651,0.036991,0.026502
7,0.5833,0.035136,0.041575,0.034971,0.040816,0.020246,0.041700,0.034375,0.041821,0.039384,0.035748,0.043435,0.042373,0.049542,0.033781,0.029911,0.031880,0.036962,0.037453,0.030014,0.031856,0.029973,0.038246,0.035792,0.027284,0.030135,0.035120,0.034003,0.050161,0.022518,0.038358,0.034168,0.028785,0.035024,0.036470,0.032231,0.037897,0.030933,0.042808,0.030147,0.026819,0.044923,0.037842,0.051247,0.033128,0.032982,0.035801,0.034539,0.038854,0.036200,0.043125,0.035851,0.029421,0.036017,0.030179,0.050799,0.029296,0.036612,0.029176,0.031607,0.035239,0.027568,0.028626,0.021494,0.037207,0.041084,0.039110,0.034025,0.033535,0.040981,0.039134,0.041022,0.032743,0.035195,0.043720,0.040859,0.035867,0.036985,0.020879,0.048511,0.032631,0.036819,0.042213,0.035963,0.034517,0.038759,0.033092,0.040059,0.028192,0.040848,0.044187,0.026086,0.033147,0.019802,0.037860,0.038007,0.035186,0.036448,0.032136,0.034787,0.027876
8,0.6667,0.032641,0.041459,0.033023,0.040257,0.022062,0.040766,0.035813,0.043703,0.043233,0.035662,0.044293,0.041355,0.047220,0.030965,0.027635,0.035181,0.033559,0.034678,0.028967,0.028229,0.028937,0.039500,0.036029,0.023261,0.025612,0.034881,0.032017,0.049081,0.019577,0.036511,0.036707,0.024391,0.035339,0.034455,0.028548,0.034400,0.033253,0.043806,0.029190,0.026697,0.041570,0.038468,0.049613,0.028948,0.033171,0.040207,0.033036,0.039566,0.035673,0.043651,0.037943,0.029132,0.037560,0.030331,0.048564,0.029824,0.034769,0.026897,0.027364,0.034920,0.026309,0.029236,0.023397,0.039622,0.042962,0.035401,0.037024,0.035904,0.041624,0.042365,0.041655,0.031086,0.034553,0.047357,0.044993,0.035701,0.038567,0.021547,0.051066,0.034071,0.033875,0.046220,0.035243,0.036127,0.042045,0.036182,0.037330,0.026794,0.041401,0.043903,0.029022,0.032116,0.021020,0.041643,0.037412,0.030381,0.037548,0.031021,0.034909,0.026949
9,0.7500,0.033194,0.039707,0.036570,0.036591,0.025268,0.043135,0.032689,0.045015,0.042281,0.034726,0.046238,0.040866,0.045233,0.029677,0.027307,0.031192,0.037621,0.034067,0.030410,0.025543,0.025033,0.044695,0.040559,0.025492,0.025860,0.030604,0.034699,0.051464,0.020109,0.040837,0.037354,0.030012,0.035960,0.037188,0.028030,0.034250,0.031285,0.044014,0.033036,0.025498,0.040832,0.038550,0.051288,0.026751,0.034733,0.041243,0.032836,0.039740,0.031948,0.039911,0.036984,0.030474,0.033607,0.033586,0.044932,0.027057,0.037489,0.025185,0.027909,0.035451,0.023969,0.029319,0.024969,0.040507,0.042884,0.038988,0.032557,0.036110,0.039772,0.044656,0.045168,0.025504,0.029625,0.044707,0.044338,0.039577,0.035478,0.018778,0.050124,0.029348,0.032824,0.040171,0.034217,0.032990,0.042159,0.035926,0.038896,0.026182,0.037141,0.044701,0.029353,0.031630,0.018953,0.043442,0.035444,0.028943,0.037342,0.030442,0.038231,0.030271
10,0.8333,0.032490,0.042543,0.034717,0.035361,0.024246,0.045445,0.030378,0.043117,0.043716,0.033667,0.046188,0.038383,0.047391,0.032503,0.029913,0.035902,0.033963,0.033946,0.033300,0.021522,0.028218,0.042601,0.045246,0.026378,0.024129,0.031334,0.037770,0.051982,0.021991,0.041584,0.037857,0.027564,0.035970,0.038149,0.027503,0.038556,0.029866,0.040806,0.036236,0.025599,0.039234,0.038729,0.050271,0.021944,0.031830,0.045014,0.035876,0.043334,0.034918,0.042541,0.038552,0.028509,0.036323,0.035679,0.046825,0.025619,0.040668,0.027937,0.027340,0.037373,0.024880,0.032658,0.023684,0.038539,0.041135,0.035138,0.037078,0.037095,0.037741,0.049566,0.042835,0.028451,0.025817,0.044683,0.046943,0.039710,0.033271,0.019125,0.049095,0.029465,0.033184,0.043491,0.035070,0.032892,0.043553,0.032486,0.041182,0.030241,0.034804,0.045465,0.031810,0.032313,0.020822,0.049142,0.039213,0.026048,0.035164,0.027721,0.036122,0.028511
