Month,Year,path_001,path_002,path_003,path_004,path_005,path_006,path_007,path_008,path_009,path_010,path_011,path_012,path_013,path_014,path_015,path_016,path_017,path_018,path_019,path_020,path_021,path_022,path_023,path_024,path_025,path_026,path_027,path_028,path_029,path_030,path_031,path_032,path_033,path_034,path_035,path_036,path_037,path_038,path_039,path_040,path_041,path_042,path_043,path_044,path_045,path_046,path_047,path_048,path_049,path_050,path_051,path_052,path_053,path_054,path_055,path_056,path_057,path_058,path_059,path_060,path_061,path_062,path_063,path_064,path_065,path_066,path_067,path_068,path_069,path_070,path_071,path_072,path_073,path_074,path_075,path_076,path_077,path_078,path_079,path_080,path_081,path_082,path_083,path_084,path_085,path_086,path_087,path_088,path_089,path_090,path_091,path_092,path_093,path_094,path_095,path_096,path_097,path_098,path_099,path_100
1,0.0833,0.043569,0.042349,0.034774,0.041845,0.035420,0.041799,0.033959,0.042151,0.039415,0.037391,0.043100,0.039458,0.042346,0.041117,0.042970,0.038246,0.036887,0.043362,0.040277,0.035655,0.036985,0.045926,0.040617,0.037847,0.036421,0.038416,0.040049,0.034952,0.040798,0.035006,0.041202,0.039673,0.040921,0.034023,0.040913,0.038539,0.034992,0.039734,0.036214,0.034499,0.036101,0.041661,0.041512,0.039451,0.036063,0.037159,0.043136,0.041905,0.038196,0.042325,0.035018,0.036201,0.043822,0.036693,0.043153,0.036738,0.044671,0.036394,0.039096,0.041134,0.035472,0.039053,0.036204,0.037408,0.035597,0.040269,0.041647,0.035218,0.038238,0.042911,0.041547,0.032765,0.037902,0.040672,0.042123,0.040098,0.038464,0.043637,0.037723,0.043581,0.037325,0.038838,0.037601,0.044605,0.037609,0.039974,0.043596,0.038777,0.042336,0.044109,0.042451,0.036874,0.037019,0.039060,0.042491,0.041370,0.035436,0.036634,0.040320,0.036224
2,0.1667,0.041342,0.040027,0.034794,0.042758,0.038743,0.040254,0.035536,0.043728,0.043376,0.036500,0.040731,0.041286,0.046683,0.039712,0.038208,0.038965,0.033624,0.041801,0.043020,0.034363,0.035905,0.046566,0.039909,0.032666,0.034742,0.035562,0.043232,0.039430,0.037647,0.035166,0.036556,0.041077,0.035606,0.031592,0.041089,0.040782,0.035290,0.039804,0.038728,0.031844,0.036751,0.043842,0.042195,0.039821,0.035678,0.036768,0.042781,0.038683,0.039085,0.047593,0.037303,0.038603,0.043920,0.035918,0.039885,0.038377,0.043152,0.034979,0.035319,0.042161,0.037904,0.037357,0.032165,0.038916,0.040424,0.039663,0.045142,0.036852,0.035663,0.044369,0.042771,0.032274,0.038720,0.046151,0.043974,0.043125,0.035458,0.039198,0.040992,0.043535,0.042103,0.037563,0.043080,0.047292,0.037551,0.037854,0.043406,0.038824,0.039901,0.047024,0.041904,0.034869,0.036467,0.038808,0.043005,0.041886,0.035896,0.039946,0.039542,0.031311
3,0.2500,0.041225,0.039109,0.034917,0.040836,0.032194,0.041700,0.040385,0.048542,0.043463,0.035604,0.038932,0.045059,0.049666,0.039683,0.035258,0.034275,0.035334,0.038080,0.042507,0.032502,0.033998,0.044922,0.043171,0.030955,0.032763,0.034586,0.043398,0.043806,0.039318,0.039271,0.039194,0.043724,0.038940,0.033124,0.037379,0.041573,0.040981,0.042431,0.035994,0.032765,0.041061,0.045682,0.044031,0.042375,0.037183,0.039919,0.043703,0.041153,0.035174,0.051027,0.037536,0.039637,0.043914,0.037919,0.046775,0.037069,0.038365,0.030542,0.035352,0.043203,0.039816,0.033819,0.029505,0.039064,0.043561,0.044583,0.043482,0.040674,0.036280,0.046448,0.044871,0.033950,0.035635,0.048098,0.046171,0.044258,0.035415,0.035021,0.039428,0.039475,0.039553,0.035100,0.039808,0.045790,0.041384,0.037194,0.037777,0.036354,0.042801,0.046169,0.037698,0.033226,0.034804,0.036408,0.041584,0.038829,0.035120,0.037606,0.043647,0.028260
4,0.3333,0.044368,0.041029,0.035102,0.041889,0.027122,0.045511,0.041149,0.049870,0.043417,0.038460,0.039349,0.047475,0.055228,0.036976,0.037990,0.032344,0.039173,0.042862,0.043400,0.030214,0.034085,0.044961,0.042441,0.030285,0.033053,0.036644,0.043786,0.049394,0.035080,0.040156,0.035719,0.039791,0.035750,0.036328,0.043037,0.046280,0.037715,0.038661,0.034432,0.034173,0.042139,0.048081,0.047584,0.036780,0.038125,0.039020,0.044180,0.040949,0.032840,0.048787,0.034609,0.037858,0.043856,0.037013,0.052424,0.033517,0.037740,0.029443,0.035525,0.040422,0.039528,0.031663,0.024626,0.041928,0.040896,0.046751,0.039705,0.036063,0.035542,0.049033,0.044915,0.034041,0.036474,0.048956,0.045999,0.042266,0.035169,0.029880,0.043878,0.038724,0.043217,0.039087,0.043185,0.042590,0.035893,0.032787,0.041175,0.040219,0.044552,0.044823,0.036768,0.031097,0.031561,0.042127,0.040760,0.039858,0.034790,0.037938,0.046224,0.030442
5,0.4167,0.044874,0.043612,0.040991,0.041659,0.032047,0.044239,0.034995,0.045016,0.045515,0.037212,0.043207,0.049269,0.052002,0.037221,0.036486,0.032973,0.038903,0.040313,0.034585,0.030320,0.033443,0.041967,0.039420,0.028104,0.031914,0.036151,0.039960,0.049490,0.031696,0.041271,0.040019,0.040346,0.038833,0.037167,0.044871,0.039982,0.034499,0.046297,0.035250,0.035768,0.046629,0.044331,0.054205,0.041335,0.037659,0.044390,0.040221,0.044510,0.036101,0.050104,0.034259,0.035473,0.038033,0.037376,0.047208,0.034869,0.044107,0.034124,0.033648,0.041826,0.035864,0.030128,0.027633,0.041817,0.042568,0.046226,0.040114,0.038705,0.044534,0.049062,0.045731,0.037074,0.039595,0.051481,0.047350,0.042912,0.039057,0.029925,0.047583,0.037758,0.038998,0.038673,0.040184,0.041871,0.034262,0.039035,0.044623,0.032906,0.043842,0.043307,0.032592,0.034780,0.025660,0.037694,0.041371,0.034723,0.038797,0.034608,0.042964,0.029360
6,0.5000,0.042850,0.046154,0.041587,0.046196,0.029272,0.045701,0.033467,0.047124,0.046095,0.037891,0.046221,0.048805,0.055990,0.042277,0.033487,0.034183,0.038090,0.041826,0.032111,0.032700,0.031984,0.039264,0.043479,0.030261,0.029922,0.034734,0.042682,0.055083,0.025850,0.043101,0.042181,0.036635,0.038632,0.037100,0.039858,0.041009,0.032936,0.048582,0.035213,0.032928,0.048047,0.043781,0.053177,0.038449,0.037607,0.041666,0.038845,0.043224,0.038049,0.050760,0.036354,0.033183,0.037590,0.033143,0.050352,0.033612,0.045854,0.032267,0.033238,0.041282,0.033119,0.030697,0.024223,0.036913,0.045833,0.045102,0.041081,0.037356,0.047290,0.046665,0.047425,0.039897,0.035744,0.049277,0.049645,0.044527,0.036518,0.025020,0.054146,0.036111,0.037007,0.042563,0.040533,0.042087,0.039304,0.038161,0.046414,0.030905,0.044029,0.046422,0.031403,0.035452,0.026714,0.040717,0.041571,0.037512,0.040318,0.035991,0.041122,0.028899
7,0.5833,0.039240,0.046990,0.039044,0.046064,0.022194,0.047144,0.038340,0.047292,0.044326,0.039967,0.049274,0.047968,0.056910,0.037639,0.033122,0.035410,0.041415,0.042003,0.033240,0.035382,0.033193,0.042954,0.040019,0.030102,0.033381,0.039221,0.037900,0.057697,0.024718,0.043089,0.038096,0.031823,0.039108,0.040827,0.035820,0.042535,0.034307,0.048502,0.033394,0.029571,0.051114,0.042468,0.059081,0.036871,0.036699,0.040030,0.038534,0.043687,0.040505,0.048892,0.040090,0.032556,0.040286,0.033431,0.058509,0.032412,0.040997,0.032273,0.035092,0.039362,0.030426,0.031640,0.023577,0.041707,0.046391,0.043996,0.037927,0.037349,0.046266,0.044025,0.046315,0.036419,0.039311,0.049625,0.046118,0.040109,0.041442,0.022894,0.055605,0.036289,0.041244,0.047771,0.040223,0.038508,0.043572,0.036829,0.045145,0.031141,0.046103,0.050202,0.028737,0.036893,0.021703,0.042491,0.042667,0.039300,0.040801,0.035709,0.038827,0.030779
8,0.6667,0.036626,0.047190,0.037075,0.045724,0.024518,0.046343,0.040375,0.049948,0.049368,0.040196,0.050679,0.047062,0.054331,0.034667,0.030821,0.039624,0.037705,0.039028,0.032353,0.031503,0.032318,0.044805,0.040632,0.025860,0.028515,0.039268,0.035895,0.056681,0.021761,0.041208,0.041442,0.027132,0.039812,0.038764,0.031870,0.038699,0.037345,0.050076,0.032610,0.029749,0.047325,0.043558,0.057355,0.032331,0.037249,0.045663,0.037089,0.044884,0.040208,0.049884,0.042925,0.032543,0.042465,0.033931,0.056025,0.033342,0.039136,0.029977,0.030512,0.039314,0.029307,0.032663,0.026013,0.044953,0.049034,0.039885,0.041822,0.040484,0.047392,0.048300,0.047429,0.034809,0.038880,0.054504,0.051547,0.040243,0.043677,0.023945,0.059208,0.038310,0.038079,0.053079,0.039698,0.040750,0.047907,0.040815,0.042189,0.029859,0.047119,0.050196,0.032416,0.036011,0.023358,0.047415,0.042287,0.033989,0.042450,0.034732,0.039302,0.030036
9,0.7500,0.037609,0.045401,0.041618,0.041643,0.028445,0.049598,0.037015,0.051929,0.048545,0.039420,0.053456,0.046811,0.052200,0.033500,0.030770,0.035262,0.042879,0.038640,0.034351,0.028758,0.028179,0.051531,0.046438,0.028700,0.029117,0.034577,0.039388,0.060083,0.022661,0.046776,0.042558,0.033889,0.040889,0.042358,0.031600,0.038857,0.035370,0.050685,0.037424,0.028706,0.046770,0.043998,0.059857,0.030134,0.039429,0.047272,0.037188,0.045440,0.036146,0.045648,0.042113,0.034426,0.038096,0.038072,0.051825,0.030484,0.042720,0.028351,0.031460,0.040282,0.026975,0.033086,0.028106,0.046374,0.049288,0.044529,0.036860,0.041067,0.045479,0.051482,0.052120,0.028713,0.033440,0.051545,0.051087,0.045243,0.040314,0.021192,0.058368,0.033120,0.037174,0.045964,0.038817,0.037369,0.048395,0.040849,0.044417,0.029484,0.042302,0.051538,0.033125,0.035773,0.021385,0.049978,0.040273,0.032652,0.042543,0.034389,0.043613,0.034190
10,0.8333,0.036375,0.048442,0.038999,0.039764,0.026898,0.052032,0.033913,0.049148,0.049887,0.037760,0.052959,0.043380,0.054467,0.036391,0.033374,0.040407,0.038108,0.038088,0.037327,0.023847,0.031418,0.048513,0.051785,0.029314,0.026766,0.035025,0.042642,0.060302,0.024369,0.047266,0.042746,0.030669,0.040488,0.043098,0.030599,0.043588,0.033319,0.046316,0.040805,0.028429,0.044407,0.043797,0.058113,0.024317,0.035603,0.051496,0.040376,0.049416,0.039238,0.048439,0.043584,0.031753,0.040909,0.040141,0.053757,0.028451,0.046148,0.031096,0.030413,0.042166,0.027614,0.036573,0.026266,0.043567,0.046717,0.039498,0.041812,0.041832,0.042607,0.057216,0.048801,0.031687,0.028676,0.051084,0.053905,0.044983,0.037293,0.021194,0.056618,0.032855,0.037191,0.049610,0.039418,0.036847,0.049686,0.036371,0.046775,0.033753,0.039103,0.052057,0.035579,0.036168,0.023070,0.056678,0.044382,0.028938,0.039530,0.030848,0.040669,0.031756
