Month,Year,DF_market,DF_corrected,DF_uncorrected,err_corr_bp,err_uncorr_bp
1,0.0833,0.99695927,0.99695927,0.99695928,-0.000000,+0.000053
2,0.1667,0.99392548,0.99392548,0.99392669,-0.000000,+0.012105
3,0.2500,0.99089860,0.99089860,0.99090108,+0.000000,+0.024830
4,0.3333,0.98789765,0.98789765,0.98789201,-0.000000,-0.056475
5,0.4167,0.98491298,0.98491298,0.98490417,-0.000000,-0.088125
6,0.5000,0.98194450,0.98194450,0.98193275,+0.000000,-0.117465
7,0.5833,0.97902467,0.97902467,0.97899394,-0.000000,-0.307275
8,0.6667,0.97612992,0.97612992,0.97609218,-0.000000,-0.377423
9,0.7500,0.97326009,0.97326009,0.97321567,-0.000000,-0.444231
10,0.8333,0.97041500,0.97041500,0.97036428,+0.000000,-0.507208
11,0.9167,0.96759448,0.96759448,0.96753784,+0.000000,-0.566400
12,1.0000,0.96479837,0.96479837,0.96473616,+0.000000,-0.622022
13,1.0833,0.96187527,0.96187527,0.96188353,-0.000000,+0.082596
14,1.1667,0.95895395,0.95895395,0.95896893,+0.000000,+0.149817
15,1.2500,0.95603444,0.95603444,0.95605669,+0.000000,+0.222498
16,1.3333,0.95311678,0.95311678,0.95314686,+0.000000,+0.300753
17,1.4167,0.95020101,0.95020101,0.95023944,+0.000000,+0.384244
18,1.5000,0.94728717,0.94728717,0.94733456,+0.000000,+0.473993
19,1.5833,0.94437528,0.94437528,0.94443236,+0.000000,+0.570825
20,1.6667,0.94146539,0.94146539,0.94153283,+0.000000,+0.674377
21,1.7500,0.93855754,0.93855754,0.93863602,+0.000000,+0.784826
22,1.8333,0.93565176,0.93565176,0.93574206,+0.000000,+0.903010
23,1.9167,0.93274809,0.93274809,0.93285091,-0.000000,+1.028222
24,2.0000,0.92984656,0.92984656,0.92996265,+0.000000,+1.160870
25,2.0833,0.92703004,0.92703004,0.92711885,-0.000000,+0.888108
26,2.1667,0.92422183,0.92422183,0.92432235,+0.000000,+1.005228
27,2.2500,0.92142190,0.92142190,0.92153498,+0.000000,+1.130756
28,2.3333,0.91863024,0.91863024,0.91875692,-0.000000,+1.266793
29,2.4167,0.91584682,0.91584682,0.91598805,+0.000000,+1.412213
30,2.5000,0.91307162,0.91307162,0.91322812,-0.000000,+1.564935
31,2.5833,0.91030462,0.91030462,0.91047727,+0.000000,+1.726514
32,2.6667,0.90754578,0.90754578,0.90773563,+0.000000,+1.898532
33,2.7500,0.90479509,0.90479509,0.90500305,-0.000000,+2.079599
34,2.8333,0.90205252,0.90205252,0.90227968,+0.000000,+2.271564
35,2.9167,0.89931805,0.89931805,0.89956564,+0.000000,+2.475843
36,3.0000,0.89659166,0.89659166,0.89686052,+0.000000,+2.688598
37,3.0833,0.89410130,0.89410130,0.89427815,+0.000000,+1.768501
38,3.1667,0.89162994,0.89162994,0.89182411,+0.000000,+1.941758
39,3.2500,0.88917745,0.88917745,0.88939017,+0.000000,+2.127185
40,3.3333,0.88674372,0.88674372,0.88697614,+0.000000,+2.324209
41,3.4167,0.88432863,0.88432863,0.88458236,+0.000000,+2.537301
42,3.5000,0.88193207,0.88193207,0.88220845,-0.000000,+2.763806
43,3.5833,0.87955391,0.87955391,0.87985405,+0.000000,+3.001402
44,3.6667,0.87719406,0.87719406,0.87751920,+0.000000,+3.251450
45,3.7500,0.87485238,0.87485238,0.87520358,+0.000000,+3.511987
46,3.8333,0.87252878,0.87252878,0.87290727,+0.000000,+3.784820
47,3.9167,0.87022314,0.87022314,0.87063039,+0.000000,+4.072442
48,4.0000,0.86793535,0.86793535,0.86837266,+0.000000,+4.373126
49,4.0833,0.86526452,0.86526452,0.86593344,-0.000000,+6.689228
50,4.1667,0.86259728,0.86259728,0.86330623,-0.000000,+7.089487
51,4.2500,0.85993366,0.85993366,0.86068393,-0.000000,+7.502738
52,4.3333,0.85727368,0.85727368,0.85806683,+0.000000,+7.931512
53,4.4167,0.85461734,0.85461734,0.85545470,+0.000000,+8.373599
54,4.5000,0.85196468,0.85196468,0.85284732,+0.000000,+8.826411
55,4.5833,0.84931570,0.84931570,0.85024510,+0.000000,+9.293958
56,4.6667,0.84667043,0.84667043,0.84764819,+0.000000,+9.777575
57,4.7500,0.84402888,0.84402888,0.84505712,+0.000000,+10.282475
58,4.8333,0.84139106,0.84139106,0.84247196,+0.000000,+10.808980
59,4.9167,0.83875699,0.83875699,0.83989249,+0.000000,+11.354930
60,5.0000,0.83612670,0.83612670,0.83731831,+0.000000,+11.916147
61,5.0833,0.83344404,0.83344404,0.83472095,+0.000000,+12.769175
62,5.1667,0.83076370,0.83076370,0.83210050,+0.000000,+13.367977
63,5.2500,0.82808572,0.82808572,0.82948469,+0.000000,+13.989743
64,5.3333,0.82541013,0.82541013,0.82687351,+0.000000,+14.633769
65,5.4167,0.82273696,0.82273696,0.82426685,+0.000000,+15.298878
66,5.5000,0.82006625,0.82006625,0.82166420,+0.000000,+15.979535
67,5.5833,0.81739802,0.81739802,0.81906531,+0.000000,+16.672842
68,5.6667,0.81473232,0.81473232,0.81647066,+0.000000,+17.383448
69,5.7500,0.81206916,0.81206916,0.81388067,+0.000000,+18.115013
70,5.8333,0.80940859,0.80940859,0.81129485,+0.000000,+18.862617
71,5.9167,0.80675064,0.80675064,0.80871305,+0.000000,+19.624082
72,6.0000,0.80409533,0.80409533,0.80613567,-0.000000,+20.403438
73,6.0833,0.80144270,0.80144270,0.80356231,+0.000000,+21.196089
74,6.1667,0.79879278,0.79879278,0.80099281,+0.000000,+22.000292
75,6.2500,0.79614559,0.79614559,0.79842799,+0.000000,+22.823997
76,6.3333,0.79350118,0.79350118,0.79586836,+0.000000,+23.671731
77,6.4167,0.79085958,0.79085958,0.79331368,+0.000000,+24.541033
78,6.5000,0.78822080,0.78822080,0.79076386,+0.000000,+25.430625
79,6.5833,0.78558489,0.78558489,0.78821829,-0.000000,+26.334002
80,6.6667,0.78295187,0.78295187,0.78567602,+0.000000,+27.241451
81,6.7500,0.78032177,0.78032177,0.78313776,+0.000000,+28.159875
82,6.8333,0.77769463,0.77769463,0.78060348,+0.000000,+29.088505
83,6.9167,0.77507047,0.77507047,0.77807228,+0.000000,+30.018102
84,7.0000,0.77244932,0.77244932,0.77554533,-0.000000,+30.960046
85,7.0833,0.76999123,0.76999123,0.77310367,+0.000000,+31.124408
86,7.1667,0.76753890,0.76753890,0.77074816,+0.000000,+32.092675
87,7.2500,0.76509233,0.76509233,0.76840061,+0.000000,+33.082789
88,7.3333,0.76265153,0.76265153,0.76606114,-0.000000,+34.096049
89,7.4167,0.76021648,0.76021648,0.76372935,+0.000000,+35.128644
90,7.5000,0.75778718,0.75778718,0.76140565,+0.000000,+36.184701
91,7.5833,0.75536363,0.75536363,0.75908906,+0.000000,+37.254380
92,7.6667,0.75294581,0.75294581,0.75677899,-0.000000,+38.331829
93,7.7500,0.75053372,0.75053372,0.75447580,+0.000000,+39.420752
94,7.8333,0.74812737,0.74812737,0.75217915,-0.000000,+40.517799
95,7.9167,0.74572673,0.74572673,0.74988916,+0.000000,+41.624317
96,8.0000,0.74333181,0.74333181,0.74760502,+0.000000,+42.732112
97,8.0833,0.74094260,0.74094260,0.74532634,+0.000000,+43.837396
98,8.1667,0.73855910,0.73855910,0.74305434,-0.000000,+44.952473
99,8.2500,0.73618129,0.73618129,0.74079000,+0.000000,+46.087102
100,8.3333,0.73380918,0.73380918,0.73853244,-0.000000,+47.232579
101,8.4167,0.73144276,0.73144276,0.73628216,-0.000000,+48.393976
102,8.5000,0.72908202,0.72908202,0.73403994,-0.000000,+49.579198
103,8.5833,0.72672696,0.72672696,0.73180413,-0.000000,+50.771760
104,8.6667,0.72437756,0.72437756,0.72957571,-0.000000,+51.981434
105,8.7500,0.72203384,0.72203384,0.72735374,+0.000000,+53.199037
106,8.8333,0.71969577,0.71969577,0.72513675,+0.000000,+54.409859
107,8.9167,0.71736335,0.71736335,0.72292652,-0.000000,+55.631667
108,9.0000,0.71503658,0.71503658,0.72072240,+0.000000,+56.858190
109,9.0833,0.71271546,0.71271546,0.71852497,+0.000000,+58.095067
110,9.1667,0.71039997,0.71039997,0.71633524,-0.000000,+59.352669
111,9.2500,0.70809011,0.70809011,0.71415279,+0.000000,+60.626851
112,9.3333,0.70578587,0.70578587,0.71197895,-0.000000,+61.930774
113,9.4167,0.70348725,0.70348725,0.70981378,-0.000000,+63.265247
114,9.5000,0.70119425,0.70119425,0.70765680,+0.000000,+64.625528
115,9.5833,0.69890685,0.69890685,0.70550681,+0.000000,+65.999625
